Designator,Package,Qty,Value,LCSC
"C1, C2, C6, C7, C11-C16",0402,10,0.1uF,C1525
C3-C5,1206,3,10uF,C89632
C8,0805,1,0.1uF,C1711
"C9, C10",0805,2,10uF,C15850
D1,CFP-15,1,PMEG045V100EPD,C5183016
"D2, D5",0603,2,RED LED,C94869
D3,SOD-323,1,1N4148,C2128
D4,0603,1,GREEN LED,C125101
"D6, D7",SOD-128,2,PMEG10030,C5260346
D8,"SMD,2x2mm",1,WS2812B,C965555
L1,"SMD,4x4mm",1,12uH,C167880
Q1,SOT-23,1,MBT2222,C82460
"R1, R2, R13, R14",0402,4,68R,C25131
"R3, R5, R7, R8",0603,4,1k,C22548
"R4, R6, R11, R12",0603,4,10k,C98220
"R9, R10",0603,2,100R,C105588
"R15, R16",0603,2,4.7k,C99782
SW1,SMD-4P,1,SW_DIP_x02,C7462922
"U2, U4, U6, U7, U9",VSSOP-8_P0.5mm,5,SN74LVC2T45DCUR,C15741
U5,SOT-23-5,1,RT9080-3.3,C841192
U8,SOIC-8,1,AO4882,C477943